et_measure,final_metric,spearman_rho,spearman_p,kendall_tau,kendall_p
ffd,steps_taken,0.7857142857142859,0.03623846267982714,0.6190476190476191,0.06904761904761905
ffd,final_surprisal,0.07142857142857144,0.8790481931481541,0.04761904761904762,1.0
ffd,final_entropy,0.8928571428571429,0.006807187408935392,0.8095238095238096,0.010714285714285714
ffd,final_sampler_entropy,0.4642857142857144,0.2939341076002517,0.5238095238095238,0.1361111111111111
ffd,final_sampler_p_target,-0.14285714285714288,0.7599453002180929,-0.04761904761904762,1.0
ffd,cumulative_kl,0.642857142857143,0.11939237342741094,0.4285714285714286,0.2388888888888889
ffd,sampler_cumulative_kl,0.7500000000000002,0.05218140045705776,0.6190476190476191,0.06904761904761905
gz,steps_taken,0.21428571428571433,0.6445115810207203,0.14285714285714288,0.7726190476190476
gz,final_surprisal,0.21428571428571433,0.6445115810207203,0.14285714285714288,0.7726190476190476
gz,final_entropy,0.3214285714285715,0.4820720382996776,0.14285714285714288,0.7726190476190476
gz,final_sampler_entropy,-0.10714285714285716,0.8191508555699912,-0.14285714285714288,0.7726190476190476
gz,final_sampler_p_target,-0.21428571428571433,0.6445115810207203,-0.14285714285714288,0.7726190476190476
gz,cumulative_kl,-0.07142857142857144,0.8790481931481541,-0.04761904761904762,1.0
gz,sampler_cumulative_kl,0.3214285714285715,0.4820720382996776,0.14285714285714288,0.7726190476190476
gp,steps_taken,0.9285714285714288,0.0025194724037946874,0.8095238095238096,0.010714285714285714
gp,final_surprisal,0.14285714285714288,0.7599453002180929,0.04761904761904762,1.0
gp,final_entropy,0.8928571428571429,0.006807187408935392,0.8095238095238096,0.010714285714285714
gp,final_sampler_entropy,0.1785714285714286,0.7016579425162729,0.14285714285714288,0.7726190476190476
gp,final_sampler_p_target,-0.39285714285714296,0.38331687042697266,-0.23809523809523814,0.5619047619047619
gp,cumulative_kl,0.7142857142857144,0.0713435614675376,0.6190476190476191,0.06904761904761905
gp,sampler_cumulative_kl,0.8214285714285715,0.023448808345691505,0.6190476190476191,0.06904761904761905
tt,steps_taken,0.9642857142857145,0.0004541491691941689,0.9047619047619049,0.002777777777777778
tt,final_surprisal,0.10714285714285716,0.8191508555699912,-0.04761904761904762,1.0
tt,final_entropy,0.9642857142857145,0.0004541491691941689,0.9047619047619049,0.002777777777777778
tt,final_sampler_entropy,0.3214285714285715,0.4820720382996776,0.23809523809523814,0.5619047619047619
tt,final_sampler_p_target,-0.3214285714285715,0.4820720382996776,-0.14285714285714288,0.7726190476190476
tt,cumulative_kl,0.7857142857142859,0.03623846267982714,0.7142857142857143,0.03015873015873016
tt,sampler_cumulative_kl,0.8571428571428573,0.013697326615325611,0.7142857142857143,0.03015873015873016
regin,steps_taken,0.3571428571428572,0.4316113520383278,0.33333333333333337,0.3813492063492063
regin,final_surprisal,0.21428571428571433,0.6445115810207203,0.14285714285714288,0.7726190476190476
regin,final_entropy,0.4642857142857144,0.2939341076002517,0.33333333333333337,0.3813492063492063
regin,final_sampler_entropy,0.14285714285714288,0.7599453002180929,0.04761904761904762,1.0
regin,final_sampler_p_target,0.42857142857142866,0.337368311085824,0.4285714285714286,0.2388888888888889
regin,cumulative_kl,0.3571428571428572,0.4316113520383278,0.33333333333333337,0.3813492063492063
regin,sampler_cumulative_kl,0.42857142857142866,0.337368311085824,0.33333333333333337,0.3813492063492063
regout,steps_taken,1.0,0.0,1.0,0.0003968253968253968
regout,final_surprisal,-0.07142857142857144,0.8790481931481541,-0.14285714285714288,0.7726190476190476
regout,final_entropy,0.9285714285714288,0.0025194724037946874,0.8095238095238096,0.010714285714285714
regout,final_sampler_entropy,0.21428571428571433,0.6445115810207203,0.14285714285714288,0.7726190476190476
regout,final_sampler_p_target,-0.28571428571428575,0.5345092286010406,-0.04761904761904762,1.0
regout,cumulative_kl,0.8928571428571429,0.006807187408935392,0.8095238095238096,0.010714285714285714
regout,sampler_cumulative_kl,0.7857142857142859,0.03623846267982714,0.6190476190476191,0.06904761904761905
