et_measure,final_metric,spearman_rho,spearman_p,kendall_tau,kendall_p
ffd,steps_taken,0.42857142857142866,0.337368311085824,0.33333333333333337,0.3813492063492063
ffd,final_surprisal,-0.1785714285714286,0.7016579425162729,-0.23809523809523814,0.5619047619047619
ffd,final_entropy,0.5357142857142858,0.21521745567801273,0.4285714285714286,0.2388888888888889
ffd,final_sampler_entropy,0.39285714285714296,0.38331687042697266,0.33333333333333337,0.3813492063492063
ffd,final_sampler_p_target,-0.25,0.5887244480896833,-0.23809523809523814,0.5619047619047619
ffd,cumulative_kl,0.39285714285714296,0.38331687042697266,0.33333333333333337,0.3813492063492063
ffd,sampler_cumulative_kl,0.5357142857142858,0.21521745567801273,0.4285714285714286,0.2388888888888889
gz,steps_taken,0.14285714285714288,0.7599453002180929,0.04761904761904762,1.0
gz,final_surprisal,0.3214285714285715,0.4820720382996776,0.23809523809523814,0.5619047619047619
gz,final_entropy,0.03571428571428572,0.9394082054712856,-0.04761904761904762,1.0
gz,final_sampler_entropy,-0.03571428571428572,0.9394082054712856,-0.14285714285714288,0.7726190476190476
gz,final_sampler_p_target,0.03571428571428572,0.9394082054712856,0.04761904761904762,1.0
gz,cumulative_kl,-0.10714285714285716,0.8191508555699912,-0.14285714285714288,0.7726190476190476
gz,sampler_cumulative_kl,-0.25,0.5887244480896833,-0.23809523809523814,0.5619047619047619
gp,steps_taken,0.0,1.0,-0.04761904761904762,1.0
gp,final_surprisal,0.0,1.0,-0.04761904761904762,1.0
gp,final_entropy,0.07142857142857144,0.8790481931481541,0.04761904761904762,1.0
gp,final_sampler_entropy,0.1785714285714286,0.7016579425162729,0.14285714285714288,0.7726190476190476
gp,final_sampler_p_target,-0.5357142857142858,0.21521745567801273,-0.4285714285714286,0.2388888888888889
gp,cumulative_kl,0.21428571428571433,0.6445115810207203,0.14285714285714288,0.7726190476190476
gp,sampler_cumulative_kl,0.3571428571428572,0.4316113520383278,0.23809523809523814,0.5619047619047619
tt,steps_taken,0.14285714285714288,0.7599453002180929,0.04761904761904762,1.0
tt,final_surprisal,-0.10714285714285716,0.8191508555699912,-0.14285714285714288,0.7726190476190476
tt,final_entropy,0.25,0.5887244480896833,0.14285714285714288,0.7726190476190476
tt,final_sampler_entropy,0.28571428571428575,0.5345092286010406,0.23809523809523814,0.5619047619047619
tt,final_sampler_p_target,-0.5,0.2531699951003227,-0.33333333333333337,0.3813492063492063
tt,cumulative_kl,0.3214285714285715,0.4820720382996776,0.23809523809523814,0.5619047619047619
tt,sampler_cumulative_kl,0.5,0.2531699951003227,0.33333333333333337,0.3813492063492063
regin,steps_taken,0.5714285714285715,0.1802019889115274,0.4285714285714286,0.2388888888888889
regin,final_surprisal,-0.3571428571428572,0.4316113520383278,-0.33333333333333337,0.3813492063492063
regin,final_entropy,0.5,0.2531699951003227,0.33333333333333337,0.3813492063492063
regin,final_sampler_entropy,-0.10714285714285716,0.8191508555699912,-0.14285714285714288,0.7726190476190476
regin,final_sampler_p_target,0.3214285714285715,0.4820720382996776,0.23809523809523814,0.5619047619047619
regin,cumulative_kl,0.3571428571428572,0.4316113520383278,0.23809523809523814,0.5619047619047619
regin,sampler_cumulative_kl,0.5,0.2531699951003227,0.14285714285714288,0.7726190476190476
regout,steps_taken,-0.07142857142857144,0.8790481931481541,-0.04761904761904762,1.0
regout,final_surprisal,-0.25,0.5887244480896833,-0.23809523809523814,0.5619047619047619
regout,final_entropy,0.07142857142857144,0.8790481931481541,0.04761904761904762,1.0
regout,final_sampler_entropy,0.21428571428571433,0.6445115810207203,0.14285714285714288,0.7726190476190476
regout,final_sampler_p_target,-0.4642857142857144,0.2939341076002517,-0.23809523809523814,0.5619047619047619
regout,cumulative_kl,0.14285714285714288,0.7599453002180929,0.14285714285714288,0.7726190476190476
regout,sampler_cumulative_kl,0.39285714285714296,0.38331687042697266,0.23809523809523814,0.5619047619047619
