trajectory_source,subset,contrast,metric,et_measure,n_items,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_p_fdr,spearman_fdr_sig
bidirectional,Agreement,UNAGREE-AGREE,steps_taken,ffd,18,-0.39234977756501793,0.10730072197398896,-0.4437294509911697,0.06509928337445793,0.773407881723603,False
bidirectional,Agreement,UNAGREE-AGREE,final_surprisal,ffd,18,0.43859649122807015,0.06864406996213139,0.43965161728431534,0.06790398951722733,0.6727118856288876,False
bidirectional,Agreement,UNAGREE-AGREE,final_entropy,ffd,18,-0.06914344685242517,0.7851478708666942,-0.37917840460230734,0.12069989104377174,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,final_sampler_entropy,ffd,18,-0.06501547987616099,0.7977151313810279,0.09599729791028144,0.7047473816300737,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,final_sampler_p_target,ffd,18,-0.2239422084623323,0.37168616375621744,-0.34005139120726446,0.16737046291930963,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,cumulative_kl,ffd,18,-0.027863777089783277,0.9126078919940868,-0.2157103385471029,0.3899728569425466,0.9863339303791361,False
bidirectional,Agreement,UNAGREE-AGREE,sampler_cumulative_kl,ffd,18,-0.003095975232198142,0.990272385227047,-0.2833000458363003,0.25462610880190534,0.9935650421080593,False
bidirectional,Agreement,UNAGREE-AGREE,steps_taken,gz,18,-0.1604345244294203,0.5248150957456239,-0.15210509030891833,0.5468271676846046,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,final_surprisal,gz,18,0.07533539731682146,0.7663922813478388,0.03761007382658612,0.8822148165038868,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,final_entropy,gz,18,-0.08152734778121776,0.7477594697936525,-0.1503478223256453,0.5515231255265267,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,final_sampler_entropy,gz,18,-0.0608875128998968,0.8103299008966292,-0.12865573547087364,0.6109088708209937,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,final_sampler_p_target,gz,18,0.027863777089783277,0.9126078919940868,-0.2599809627197488,0.29747055002465234,0.9863339303791361,False
bidirectional,Agreement,UNAGREE-AGREE,cumulative_kl,gz,18,-0.038183694530443756,0.8804304907652736,-0.04675207078355856,0.8538470535440146,0.9842074687642223,False
bidirectional,Agreement,UNAGREE-AGREE,sampler_cumulative_kl,gz,18,-0.09391124871001032,0.7108992592881785,-0.22423525957360696,0.3710441613237697,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,steps_taken,gp,18,0.44635743925412963,0.0633380150160637,0.49969952131302986,0.0347258798323091,0.6522886565211187,False
bidirectional,Agreement,UNAGREE-AGREE,final_surprisal,gp,18,-0.3498452012383901,0.1546923218138582,-0.2656476343863082,0.2866820654190249,0.9295281434334138,False
bidirectional,Agreement,UNAGREE-AGREE,final_entropy,gp,18,0.413828689370485,0.08778525139466084,0.5429188002037192,0.019898769862451295,0.763915557799314,False
bidirectional,Agreement,UNAGREE-AGREE,final_sampler_entropy,gp,18,0.21775025799793604,0.3853959643781133,0.22631187366178276,0.36651263974513415,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,final_sampler_p_target,gp,18,0.17853457172342618,0.4784449329228029,0.2798683202091532,0.26067383936911726,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,cumulative_kl,gp,18,0.2714138286893705,0.27595238461589006,0.5370501894620628,0.021550062880617973,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,sampler_cumulative_kl,gp,18,0.1455108359133127,0.5645405304670836,0.3374847816199154,0.17080599144744887,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,steps_taken,tt,18,0.4114113052199986,0.089841986808936,0.37375290701329617,0.1265484250020862,0.763915557799314,False
bidirectional,Agreement,UNAGREE-AGREE,final_surprisal,tt,18,-0.32920536635706915,0.18221199775917415,-0.22519081256352494,0.3689551007076274,0.9295281434334138,False
bidirectional,Agreement,UNAGREE-AGREE,final_entropy,tt,18,0.18059855521155832,0.4732892668249995,0.3990304885202991,0.10092691961602593,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,final_sampler_entropy,tt,18,0.11248710010319916,0.6567565630509027,0.07602952818777449,0.7642972196678635,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,final_sampler_p_target,tt,18,0.0629514963880289,0.8040167566657793,0.01816749236198613,0.9429600429487559,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,cumulative_kl,tt,18,0.09184726522187822,0.717002841661774,0.3548529217608317,0.14847114723550195,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,sampler_cumulative_kl,tt,18,0.1847265221878225,0.4630613329179911,0.4078544097481408,0.0929315175251928,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,steps_taken,regin,18,0.03971151594787631,0.8756806878195214,0.09974325198330203,0.693744206836719,0.9826340542707606,False
bidirectional,Agreement,UNAGREE-AGREE,final_surprisal,regin,18,-0.017543859649122806,0.9449151835129637,0.024680168757193532,0.9225627864141493,0.9886301208285101,False
bidirectional,Agreement,UNAGREE-AGREE,final_entropy,regin,18,0.054695562435500514,0.8293348337875046,0.15624092106276166,0.5358460791390811,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,final_sampler_entropy,regin,18,0.2961816305469556,0.23271685741068457,0.3065660074513614,0.21596228037164755,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,final_sampler_p_target,regin,18,-0.10629514963880288,0.6746395315456968,-0.0023918021437493997,0.9924848430910473,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,cumulative_kl,regin,18,-0.08771929824561403,0.7292587507339037,0.1487642433033927,0.5557701896209317,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,sampler_cumulative_kl,regin,18,-0.07946336429308565,0.7539561864360347,0.11867965090994956,0.6390476278233406,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,steps_taken,regout,18,0.28751137546262445,0.2473258793252569,0.2104712680773947,0.4018632231745476,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,final_surprisal,regout,18,-0.24664602683178533,0.32380881293776365,-0.16470586642396928,0.5136887402284733,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,final_entropy,regout,18,0.31888544891640863,0.1971279138888988,0.2565809640498439,0.30405950078124666,0.9659267780556041,False
bidirectional,Agreement,UNAGREE-AGREE,final_sampler_entropy,regout,18,-0.05056759545923632,0.8420557303322881,-0.026619591941614007,0.9164969670724814,0.975909495449091,False
bidirectional,Agreement,UNAGREE-AGREE,final_sampler_p_target,regout,18,0.19711042311661509,0.433057670392028,0.09766561362479284,0.6998399177498527,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,cumulative_kl,regout,18,0.15376676986584106,0.5424031647570589,0.31905591201775085,0.19687518455921035,0.9727939923156125,False
bidirectional,Agreement,UNAGREE-AGREE,sampler_cumulative_kl,regout,18,0.19711042311661509,0.433057670392028,0.1704533793407036,0.4988943388020144,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,steps_taken,ffd,24,-0.13371419079741378,0.5333497832141489,-0.13663642081738775,0.5243581122246733,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_surprisal,ffd,24,-0.15304347826086956,0.4752549676743846,-0.05670414524480615,0.7924161784081222,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_entropy,ffd,24,-0.06956521739130435,0.7466974841785088,-0.08923068606670433,0.6784113159768295,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_entropy,ffd,24,0.17913043478260868,0.40230343183605966,0.18233027212319974,0.393809275308667,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_p_target,ffd,24,0.18173913043478263,0.3953708419767238,0.042596985853173036,0.8433339238411869,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,cumulative_kl,ffd,24,-0.0826086956521739,0.7011629844471832,-0.01641371934063285,0.9393214725036583,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,sampler_cumulative_kl,ffd,24,-0.15043478260869564,0.48290169232371793,-0.05540565134340072,0.7970719277878198,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,steps_taken,gz,24,0.11358998148007725,0.5971634527397216,0.16495094395792959,0.4411507986026517,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_surprisal,gz,24,-0.35913043478260864,0.08480057608167495,-0.33297384321599116,0.11185611549625052,0.763915557799314,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_entropy,gz,24,0.17217391304347823,0.42111806892778625,0.22028852546913114,0.30097075468300305,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_entropy,gz,24,0.15391304347826085,0.47271986689761514,0.22412498873792275,0.29241541858412745,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_p_target,gz,24,0.29478260869565215,0.16201059639566906,0.2803538395659878,0.1845339816173125,0.9295281434334138,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,cumulative_kl,gz,24,0.1408695652173913,0.511462281884675,0.2039960515661208,0.33900752430034964,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,sampler_cumulative_kl,gz,24,0.06695652173913043,0.7559095203776366,0.14097218290689764,0.5111515920186464,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,steps_taken,gp,24,0.059031013997520455,0.7840904826416315,-0.0663343318409194,0.7581114737238259,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_surprisal,gp,24,-0.1469565217391304,0.4931931221106659,-0.14926294840767118,0.48635673010772046,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_entropy,gp,24,0.009565217391304347,0.9646181660759277,-0.06626530883536914,0.7583558615573436,0.9911198401272534,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_entropy,gp,24,-0.09130434782608696,0.671341269564641,-0.1020636076587986,0.6351021747076568,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_p_target,gp,24,0.08956521739130434,0.6772689468428972,0.03456403300183272,0.8726159614007352,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,cumulative_kl,gp,24,0.08695652173913042,0.6861953252985288,0.2388811588356557,0.26094014341206573,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,sampler_cumulative_kl,gp,24,0.10173913043478258,0.6361837822056855,0.29322633424696976,0.1643423468451033,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,steps_taken,tt,24,-0.11090675357109904,0.6059093833666457,-0.17751434023604235,0.4066319588528744,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_surprisal,tt,24,-0.15565217391304348,0.46767051016381667,-0.19333588665058457,0.36537620060966736,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_entropy,tt,24,-0.06695652173913043,0.7559095203776366,-0.1471785095616727,0.49253306208380015,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_entropy,tt,24,-0.02260869565217391,0.9164870430337815,-0.07645809262493661,0.7225211827654889,0.9863339303791361,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_p_target,tt,24,0.10086956521739131,0.6390859319090778,-0.14979729013488063,0.4847797366688452,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,cumulative_kl,tt,24,-0.1060869565217391,0.6217515088671185,-0.030588253315461056,0.8871713372210982,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,sampler_cumulative_kl,tt,24,-0.020869565217391303,0.9228917031216202,0.03542098817782341,0.8694837238676079,0.9863339303791361,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,steps_taken,regin,24,0.26429794903435294,0.21202872689593041,0.25053755238929537,0.23768010718703256,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_surprisal,regin,24,-0.3878260869565217,0.06112631008008123,-0.4148362282130854,0.043836472753357905,0.6522886565211187,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_entropy,regin,24,0.2843478260869565,0.1780949809531224,0.2704323066919025,0.20121722372332163,0.9295281434334138,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_entropy,regin,24,-0.09130434782608696,0.671341269564641,-0.050698527468601096,0.8140045948894049,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_p_target,regin,24,-0.042608695652173914,0.8432913759776878,-0.338439511470592,0.10573843610332215,0.975909495449091,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,cumulative_kl,regin,24,0.31130434782608696,0.1386755426698772,0.22743446284091123,0.28515859578043257,0.9060135454431977,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,sampler_cumulative_kl,regin,24,0.28521739130434776,0.17671396904879358,0.18895427567864265,0.3765500389652672,0.9295281434334138,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,steps_taken,regout,24,-0.17485701873507953,0.4138051625313477,-0.2206363895098298,0.30018869108917795,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_surprisal,regout,24,-0.1643478260869565,0.4428461512393397,-0.18224085940847434,0.3940452458159759,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_entropy,regout,24,-0.05652173913043478,0.7930697839291405,-0.15403912726409605,0.4723528621758956,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_entropy,regout,24,0.29739130434782607,0.15815426059539578,0.28933030078418775,0.17028253783080907,0.9295281434334138,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_p_target,regout,24,0.17652173913043476,0.4093032847915006,-0.06484599049175245,0.763386149668109,0.9727939923156125,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,cumulative_kl,regout,24,-0.04521739130434782,0.8338234219848106,0.15579870026178125,0.46724636216461995,0.9727939923156125,False
