trajectory_source,subset,contrast,metric,n_items,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_p_fdr,spearman_fdr_sig
bidirectional,Agreement,UNAGREE-AGREE,steps_taken,18,-0.3415190371517362,0.16542714741096762,-0.3070458465613208,0.21520757783183314,0.5403953482091609,False
bidirectional,Agreement,UNAGREE-AGREE,final_surprisal,18,0.22187822497420018,0.3762254210655622,0.27672589801210024,0.2662896818107363,0.7681269013421895,False
bidirectional,Agreement,UNAGREE-AGREE,final_entropy,18,-0.1001031991744066,0.6926899392518374,-0.2997014061661961,0.22694742530948825,0.908008315983377,False
bidirectional,Agreement,UNAGREE-AGREE,final_sampler_entropy,18,0.4282765737874097,0.07620095935240204,0.3555153946527367,0.14766125934021937,0.5402705319760378,False
bidirectional,Agreement,UNAGREE-AGREE,final_sampler_p_target,18,-0.0608875128998968,0.8103299008966292,0.05788211995640331,0.8195424065197339,0.9228917031216202,False
bidirectional,Agreement,UNAGREE-AGREE,cumulative_kl,18,-0.21362229102167182,0.3946884572555506,-0.2324881552440502,0.35322041247305797,0.7735893762208791,False
bidirectional,Agreement,UNAGREE-AGREE,sampler_cumulative_kl,18,-0.35810113519091846,0.1445292896615503,-0.29421670885175205,0.2359781123756293,0.5402705319760378,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,steps_taken,24,0.20750295829431437,0.33058800953321077,0.21556377166432306,0.31171766066055806,0.7268860644492356,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_surprisal,24,0.025217391304347827,0.9068896173989752,0.008757193158614309,0.9676054573721655,0.9228917031216202,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_entropy,24,0.021739130434782605,0.9196887674366272,0.10702991327785347,0.6186389719486427,0.9228917031216202,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_entropy,24,-0.23478260869565212,0.26945461176954527,-0.26578987497554185,0.2093641059559952,0.6949092619319852,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_p_target,24,-0.11565217391304347,0.590478316886841,0.1285772702443845,0.5493295018054677,0.908008315983377,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,cumulative_kl,24,0.046956521739130425,0.8275237958648594,-0.00889387310622363,0.9671001164783344,0.9228917031216202,False
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,sampler_cumulative_kl,24,0.029565217391304344,0.8909226043767046,-0.02903736492421393,0.892859026715371,0.9228917031216202,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,steps_taken,24,-0.2030949395394708,0.3411914180067841,-0.19315277474454634,0.36583927265933336,0.7268860644492356,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_surprisal,24,0.3060869565217391,0.14576740958659434,0.2696169691888201,0.20263223187853593,0.5402705319760378,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_entropy,24,-0.21652173913043476,0.3095198975623006,-0.20761641566225816,0.3303177367548567,0.7222130943120346,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_entropy,24,-0.16,0.455169720215426,-0.0879174782730264,0.6829023307871642,0.8420894480356883,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_p_target,24,-0.05391304347826086,0.8024319710844886,0.11050069732420577,0.6072375455090508,0.9228917031216202,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,cumulative_kl,24,-0.2252173913043478,0.2900074275938717,-0.21975333856067597,0.30217641704339715,0.7105181976049857,False
