subset,contrast,cond_a,cond_b,item,diff_steps_taken,diff_final_surprisal,diff_final_entropy,diff_final_sampler_entropy,diff_final_sampler_p_target,diff_cumulative_kl,diff_sampler_cumulative_kl
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,10,-107.0,0.9103404133859421,-0.8147561550140381,0.6636285781860352,-7.726083276793361e-05,-0.05085294623131631,-0.3388485652394593
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,12,0.0,-1.1702703220872266,0.03975224494934082,0.4399275779724121,8.402375533478335e-05,0.0005368549172999337,0.002898550359532237
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,14,0.0,0.6242919731844321,0.0033566951751708984,1.218398094177246,-0.0013368444051593542,-0.0010450507361383643,0.0016960471984930336
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,15,0.0,-0.8118675749823545,0.06617081165313721,1.1903667449951172,6.728144944645464e-05,0.0003138467000098899,0.0398867956828326
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,16,0.0,-0.891251442516463,0.10691899061203003,0.5045571327209473,8.426487329415977e-05,0.0006703139697492588,0.0879178917966783
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,17,0.0,-0.7197178280495251,0.2538881301879883,0.8691864013671875,1.7441534509998746e-06,0.009460772525926586,0.06296721973922104
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,19,0.0,0.5426820021016567,0.4466586112976074,1.6404452323913574,-3.254176408518106e-05,0.010253139549604384,0.322933301795274
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,1,0.0,0.8111113515866535,0.07255840301513672,1.2659149169921875,-0.00025328199262730777,0.0032771437690826133,-0.02572540519759059
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,20,0.0,-0.004867977952866198,-0.009229838848114014,0.5862197875976562,4.409300163388252e-05,-0.0018563283010735177,-0.07122941175475717
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,21,107.0,-1.9720654516426848,1.28981351852417,1.3429923057556152,6.140552068245597e-05,0.0468978530188906,0.264425287139602
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,23,235.0,-1.376880724432354,2.3245550394058228,0.3384437561035156,-1.0739685194494086e-06,0.0809973517752951,0.5130496131023392
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,24,0.0,-0.5873635593494342,-0.14197564125061035,0.36734771728515625,7.907114195404574e-06,-0.037651724473107606,0.0257572284899652
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,3,0.0,-0.6355639127507331,0.006944239139556885,0.694054126739502,4.438198811840266e-05,0.000424455625761766,0.13215258647687733
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,5,0.0,-0.812226907288192,0.06069910526275635,0.9501657485961914,5.961897113593295e-05,-0.0006278103901422583,-0.05203009978868067
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,6,0.0,0.863369452181435,0.13964557647705078,0.39938926696777344,-0.007716397754848003,0.023721214638499077,0.13350619847187772
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,7,0.0,0.6751433786868848,0.027102530002593994,0.560084342956543,-0.003257651347666979,1.547365536680445e-05,0.08205902320332825
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,8,0.0,1.1719161524175092,0.028808116912841797,0.8161721229553223,-0.0001812914852052927,-0.0006010370161675382,0.01163963379804045
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,9,0.0,1.1672223816035512,0.04892069101333618,1.4774885177612305,-0.00015137060836423188,-0.0005355709545256104,0.0039023704594001174
