subset,contrast,cond_a,cond_b,item,diff_steps_taken,diff_final_surprisal,diff_final_entropy,diff_final_sampler_entropy,diff_final_sampler_p_target,diff_cumulative_kl,diff_sampler_cumulative_kl
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,10,0.0,-0.3006210292363143,0.38435792922973633,0.43651390075683594,0.00010848284000530839,0.008378620659641456,-0.06680703363963403
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,12,-171.0,-0.4992440143504293,0.2747807502746582,0.7581048011779785,1.4971219570725225e-05,-0.2491393057971436,-0.2702360844996292
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,14,543.0,-0.9307086325395186,5.470977306365967,0.8825387954711914,-0.0017018092330545187,0.3251189560396597,0.550131946161855
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,15,0.0,-0.3262744119786376,0.3694148063659668,0.41753578186035156,6.56639167573303e-05,-0.09784022715757601,-0.22814191679935902
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,16,0.0,3.962369287271308,-1.4991416931152344,-1.7959327697753906,-0.00042381850653328,0.035720058611332206,0.10220922363805585
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,17,396.0,-1.2088230307922885,3.3211183547973633,0.4425039291381836,4.610453743225662e-07,0.5564485994545976,0.9246123586199246
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,19,181.0,-0.6756692815614542,1.8616188764572144,1.5782928466796875,-3.1109397241380066e-05,0.08049362156816642,0.6310747595853172
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,1,0.0,-0.45735243328124753,0.39668846130371094,0.44620418548583984,0.0003572762943804264,-0.0006074876873753965,-0.06486037833383307
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,20,0.0,0.5344838736678668,0.0074367523193359375,0.28784847259521484,-0.000394487171433866,-0.008353370449185604,-0.11456729029305279
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,21,0.0,-0.28934951893459804,2.1519856452941895,2.270017623901367,9.501869499217719e-06,-0.003015717680682428,0.03552767285145819
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,23,-526.0,2.7302662299516633,-4.47719669342041,0.24008655548095703,-1.5280980960596935e-06,-0.46236941280949395,-0.8373056969139725
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,24,0.0,-0.38440563959296625,-0.09081506729125977,0.6068553924560547,6.4570676840958185e-06,-0.00045331112050917,0.07918445277027786
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,3,665.0,-6.397690163788029,3.2819290161132812,-0.7160458564758301,0.0017725349171087146,0.5893486055028916,1.1280448468169197
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,5,0.0,-1.156071138785956,0.2593827247619629,0.565730094909668,8.61250446178019e-05,0.019718784613360185,0.055561578075867146
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,6,0.0,0.9543075625541526,0.09791445732116699,0.20590686798095703,-0.008503877557814121,0.027797489794465946,0.15838659013388678
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,7,0.0,0.7958154967935531,0.8994932174682617,0.9375219345092773,-0.0029399776831269264,0.012682215779932449,-0.001002573175355792
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,8,0.0,1.7573608122758788,1.2797107696533203,1.5014100074768066,-0.0001369294841424562,0.09642862556211185,0.1310489844181575
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,9,0.0,0.8084285732734049,1.0029830932617188,1.0434837341308594,-0.00012345520372036844,0.0020668039505835623,0.022425946808652952
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,10,-502.0,1.2675460474492937,-2.881767749786377,0.31647586822509766,2.980254066642374e-06,-0.43624148532762774,-0.6086068876902573
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,11,243.0,-3.1485905765720155,2.3759915232658386,0.4607992172241211,-7.4394120019860566e-06,0.05251987218798604,0.3699942434905097
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,12,562.0,-2.5940019988053855,4.619460105895996,0.9222736358642578,3.8734502595616505e-05,0.16675243098143255,-0.02109232806833461
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,13,-350.0,-0.7520666872122721,-1.6521430015563965,0.5225048065185547,7.358978109550662e-05,0.05250912100018468,0.5640737239737064
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,14,238.0,-2.027958635548087,0.6504230499267578,-0.8220720291137695,0.0006391533825080842,-0.0746815532365872,-0.41121889371424913
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,15,3.0,-0.8492244477426674,0.023012161254882812,-0.5992908477783203,8.288759090646636e-06,-0.01372680029089679,-0.2456501687411219
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,16,600.0,-3.812806720484293,5.1326218247413635,0.09256267547607422,-0.0003461925662122667,0.18944289978935558,0.6074330799747258
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,17,243.0,-2.8234047335306975,1.9334298372268677,-0.5386109352111816,-9.72069074123283e-07,0.04964627550361911,0.31886348978150636
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,18,-447.0,2.814180143930127,-4.111868858337402,-1.052475929260254,-6.935816827535746e-07,-0.27246236692008097,-0.3659302569576539
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,19,-548.0,-0.31299776654000766,-1.7259421348571777,1.9155464172363281,3.4297620004508644e-05,-0.4139053987710213,-0.5056119821965694
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,1,-574.0,1.1778171985553954,-2.71569561958313,1.1322102546691895,0.0001235806121258065,-0.39243782058656507,-0.39418385963654146
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,20,-531.0,-1.339130078058644,-3.4633612632751465,-0.26758909225463867,0.013002453604713082,-0.5423848724931304,-0.7818729422288015
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,21,-135.0,0.8565776837227652,-0.9203548431396484,0.19948768615722656,-4.956747034157161e-06,-0.06332495031892904,-0.11766640702262521
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,22,-531.0,-0.8050131221592398,-4.659353256225586,-1.244363784790039,0.0014479058736469597,-0.9132630547937879,-1.631295919243712
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,23,-191.0,1.6975124338741416,-2.174778461456299,-1.1391997337341309,-1.083579206806462e-06,-0.1117660932650324,0.12265920382924378
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,24,243.0,-2.9854973692411626,2.370047688484192,-0.03070354461669922,-0.00020107743330299854,0.03896886403526878,0.22169836482498795
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,2,243.0,-4.957560209574201,2.5781440436840057,-0.034252166748046875,2.2003396225045435e-06,0.03899423510665656,0.30237447313265875
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,3,3.0,-2.483388938308453,0.1498575210571289,0.008557319641113281,0.00014334589650388807,0.013365352846449241,0.028857592318672687
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,4,121.0,0.8770329513735646,0.1479017734527588,-2.4297585487365723,-2.0787608718819683e-06,0.012742017617711099,-0.05693741686991416
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,5,938.0,-6.756978520106813,7.094361633062363,0.21503305435180664,3.1410065730597125e-06,0.560697038708895,1.1964675969211385
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,6,-330.0,0.8037690992026851,-2.153353691101074,0.19423627853393555,-0.00020043924450874329,-0.02967556803560001,0.21274103067116812
