subset,contrast,cond_a,cond_b,variable,item,mean_diff(a-b),auc_diff(a-b)
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,1,0.0456411970168558,0.045687239691448604
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,3,0.007280653332683013,0.007299422812340861
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,5,0.021172770910882325,0.021121544362822636
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,6,0.1272440011600435,0.12753256244092884
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,7,0.01276892439106564,0.012763966683317914
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,8,0.011180407266558416,0.011161453251092586
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,9,0.012322185058427521,0.012265992891700038
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,10,-0.38412233182037225,-0.38400663343538033
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,12,0.017576333990217602,0.017562524947098607
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,14,0.00690444668286934,0.006929309264120139
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,15,0.02951441309569244,0.029492694729310383
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,16,0.05239460644925284,0.0523879427650793
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,17,0.085669399784555,0.08546284658090522
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,19,0.1942470573830704,0.19409981273435795
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,20,-0.00904552327501751,-0.009070098058804266
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,21,0.6637917247834386,0.6638806894347404
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,23,1.137260101998562,1.1371328916057737
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,24,-0.08537075341983359,-0.08544072672450134
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,1,1.2930791487645865,1.2963489853508867
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,3,0.5648924290235318,0.5652601933654506
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,5,0.6977079366679168,0.6954359528043138
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,6,0.7055955599540442,0.7077372755830582
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,7,0.41275739496077735,0.4128023769899992
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,8,0.7304512215139877,0.7313666212381442
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,9,0.9941643699689128,0.9962128044056748
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,10,0.9485711579466585,0.9516508548248477
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,12,0.5201036369021813,0.5192584379649923
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,14,1.3171206438840932,1.3201201777064329
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,15,1.3921360366188702,1.3934177805873431
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,16,0.4203024790035421,0.41678637928566686
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,17,0.7553429095589337,0.7567005605397328
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,19,1.286438000705374,1.2878571256586184
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,20,0.5724683106484725,0.5726732908723655
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,21,1.0510133191688575,1.0514582398292924
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,23,0.656952250471067,0.65580361858919
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,24,0.5044716596962818,0.5062915596292854
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,1,0.9996898077955798,1.0033549984345043
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,3,-0.6506762409263456,-0.6541615055521515
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,5,-0.8566007482064851,-0.8552399223567552
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,6,1.2183145970577274,1.2200019934506963
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,7,1.349571933670313,1.3523917692436782
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,8,0.963514140742202,0.9635987844621348
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,9,0.8661396336506598,0.8675597334857804
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,10,1.1662969198972697,1.1685110098732063
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,12,-1.2313455710785781,-1.2327804768340336
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,14,0.7143345399615757,0.7147696281744244
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,15,-1.0292266387324305,-1.0278278478130503
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,16,-0.6992720660222633,-0.7005466097965203
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,17,-0.78625598234509,-0.7861330698053975
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,19,0.39705179555398046,0.3945117061685246
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,20,0.130419303668745,0.12904781864623385
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,21,-1.4849823102904296,-1.487489974108792
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,23,-1.9727533040884864,-1.9769415393203573
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,24,-0.23474594170875865,-0.2367151556295313
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_syntactic_group,1,-0.0007674634163142866,-0.0007681637216411692
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_syntactic_group,3,-0.00015058479073221082,-0.0001506731641494864
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_syntactic_group,5,-6.547971859243206e-05,-6.518233786475229e-05
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_syntactic_group,6,-0.0017188582983748918,-0.001719779353140802
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_syntactic_group,7,0.00011884616952332887,0.00011945641316193128
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_syntactic_group,8,0.00021201621319937543,0.00021197132129358162
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_syntactic_group,9,-0.0004484834286014673,-0.0004489526917968036
