subset,contrast,cond_a,cond_b,variable,item,mean_diff(a-b),auc_diff(a-b)
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,1,0.18654670240699162,0.18648617538550352
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,3,2.379717315473224,2.383429168345007
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,5,0.15481152836481418,0.15493276018673985
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,6,0.1258408312944592,0.12622765044769607
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,7,0.45024725185594894,0.45024945182453785
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,8,0.5514820166600952,0.5510353192881807
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,9,0.4822859300135508,0.4821938621861049
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,10,0.23510289409998145,0.23531752733859373
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,12,-0.12679880563967635,-0.12812894760688834
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,14,2.9583318903479006,2.9594507348700523
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,15,0.1057179514682809,0.10531711249747563
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,16,-0.3401395443798833,-0.3380831584830313
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,17,1.975457429501659,1.9770406824278868
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,19,0.9601865698342169,0.9603329851966886
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,20,-0.00048645764708650453,-0.0005095425382756441
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,21,0.8875107981312794,0.8865572938781435
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,23,-2.5497455477340374,-2.551311022150236
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,24,-0.051448096220367515,-0.05147626217939984
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,1,0.5447750798781315,0.5462455286172565
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,3,0.40819499852070257,0.4112608013621232
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,5,0.752393357586022,0.7513673591365725
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,6,0.6650483679651613,0.6675925110931369
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,7,0.7979257159376862,0.7991391790716618
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,8,1.1413043908258178,1.1430515120756186
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,9,1.2975424504160282,1.3023618537456543
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,10,0.6056445857268482,0.6074933403083338
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,12,0.7485665686406086,0.7483002535938807
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,14,1.0565986226431687,1.0591511485197398
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,15,0.3349545315402234,0.3327404473791854
