et_measure,trajectory_variable,spearman_rho,spearman_p,kendall_tau,kendall_p
ffd,p_syntactic_group,0.8928571428571429,0.006807187408935391,0.8095238095238096,0.010714285714285714
ffd,entropy,0.8571428571428573,0.013697326615325611,0.7142857142857143,0.03015873015873016
ffd,sampler_entropy,0.4642857142857144,0.29393410760025185,0.5238095238095238,0.1361111111111111
ffd,p_semantic_neighbors,-0.14285714285714288,0.7599453002180928,-0.04761904761904762,1.0
ffd,surprisal,0.0,1.0,-0.04761904761904762,1.0
gp,entropy,0.9642857142857145,0.0004541491691941692,0.9047619047619049,0.002777777777777778
gp,p_syntactic_group,0.5357142857142858,0.21521745567801284,0.4285714285714286,0.2388888888888889
gp,p_semantic_neighbors,-0.39285714285714296,0.3833168704269725,-0.23809523809523814,0.5619047619047619
gp,surprisal,0.21428571428571433,0.6445115810207203,0.14285714285714288,0.7726190476190476
gp,sampler_entropy,0.1785714285714286,0.7016579425162728,0.14285714285714288,0.7726190476190476
gz,p_syntactic_group,0.4642857142857144,0.29393410760025185,0.33333333333333337,0.3813492063492063
gz,entropy,0.3571428571428572,0.43161135203832796,0.23809523809523814,0.5619047619047619
gz,p_semantic_neighbors,-0.21428571428571433,0.6445115810207203,-0.14285714285714288,0.7726190476190476
gz,surprisal,0.14285714285714288,0.7599453002180928,0.04761904761904762,1.0
gz,sampler_entropy,-0.10714285714285716,0.8191508555699912,-0.14285714285714288,0.7726190476190476
regin,p_syntactic_group,0.8571428571428573,0.013697326615325611,0.7142857142857143,0.03015873015873016
regin,entropy,0.5,0.25316999510032256,0.4285714285714286,0.2388888888888889
regin,p_semantic_neighbors,0.42857142857142866,0.3373683110858241,0.4285714285714286,0.2388888888888889
regin,sampler_entropy,0.14285714285714288,0.7599453002180928,0.04761904761904762,1.0
regin,surprisal,0.14285714285714288,0.7599453002180928,0.04761904761904762,1.0
regout,entropy,0.9642857142857145,0.0004541491691941692,0.9047619047619049,0.002777777777777778
regout,p_syntactic_group,0.5357142857142858,0.21521745567801284,0.4285714285714286,0.2388888888888889
regout,p_semantic_neighbors,-0.28571428571428575,0.5345092286010408,-0.04761904761904762,1.0
regout,sampler_entropy,0.21428571428571433,0.6445115810207203,0.14285714285714288,0.7726190476190476
regout,surprisal,-0.03571428571428572,0.9394082054712856,-0.04761904761904762,1.0
tt,entropy,1.0,0.0,1.0,0.0003968253968253968
tt,p_syntactic_group,0.6785714285714287,0.0937502539598313,0.5238095238095238,0.1361111111111111
tt,p_semantic_neighbors,-0.3214285714285715,0.4820720382996776,-0.14285714285714288,0.7726190476190476
tt,sampler_entropy,0.3214285714285715,0.4820720382996776,0.23809523809523814,0.5619047619047619
tt,surprisal,0.14285714285714288,0.7599453002180928,0.04761904761904762,1.0
